homelat,homelon,homecontinent,n
-59.918145,30.316689, Europe, 29
-55.791254,49.122225, Europe, 6
-50.579273,36.599046, Europe, 1
-55.160357,61.370274, Europe, 1
-52.262993,104.261845, Asia, 2
-60.007767,30.372935, Europe, 6
-59.941545,30.270650, Europe, 4
-59.942059,30.300971, Europe, 7
-58.606741,49.664445, Europe, 1
-59.690727,30.469274, Europe, 1
-61.716994,50.792537, Europe, 1
-59.964220,30.307299, Europe, 3
-55.787322,49.143300, Europe, 2
-55.838271,37.548166, Europe, 1
-51.203161,71.401135, Asia, 1
-59.937861,30.323775, Europe, 3
-53.529350,49.299254, Europe, 1
-58.609939,49.658495, Europe, 1
-56.014009,92.871730, Asia, 2
-59.730643,30.388892, Europe, 2
-54.510332,36.274583, Europe, 1
-55.753721,37.648272, Europe, 1
-59.971927,30.324263, Europe, 1
-55.031639,82.920520, Asia, 1
-64.528890,40.548794, Europe, 1
-43.494130,43.595553, Europe, 1
-56.840094,60.616719, Europe, 1
-59.933213,30.322905, Europe, 2
-57.632715,39.887468, Europe, 1
-59.946888,30.331857, Europe, 3
-48.490032,135.067955, Asia, 1
-52.276610,104.277978, Asia, 1
-59.930457,30.295494, Europe, 1
-55.713492,37.815456, Europe, 1
-54.720682, 55.933480, Europe, 1
-55.014448,82.958734, Asia, 1
-57.159967,65.531830, Europe, 1
-34.231190,108.956669, Asia, 1